organization_id,source_event_name,source_entity_type,source_entity_id,research_requirement,knowledge_gap,evidence_label,source_status,source_confidence_tier,source_verification_state,status,created_by_account_id,created_by_role,metadata
{{PPBF_ORG_ID}},research_program_seed.evidence_conflicted,evidence_claim,A1-003,Resolve conflicting evidence on: Deliberate practice. Sources disagree; PPBF must not present this as settled.,The dispute is definitional as much as empirical. Neither side has boxing-specific longitudinal data.,CONTESTED PRACTICE,seeded_from_research_program,CONFLICTED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""evidence_conflicted"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Deliberate practice"", ""claim"": ""The claim that deliberate practice largely determines expertise is actively contested: Ericsson argues Macnamara et al. summed hours of any practice type rather than isolating structured, feedback-rich, individually-targeted practice."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 4, ""evidence_tier"": ""EXPERIMENTAL"", ""tbd_flag"": ""no"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.hypothesis_untested,evidence_claim,A1-007,"Test the hypothesis: Attentional focus. Currently reasoning, not evidence.","Two of the three OPTIMAL pillars have failed in preregistered tests (see A1-009, A1-010) and the third is bias-contested (A1-006). Treat the integrated theory as unconfirmed.",HYPOTHESIS REQUIRING TESTING,seeded_from_research_program,LIMITED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""hypothesis_untested"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Attentional focus"", ""claim"": ""OPTIMAL theory proposes enhanced expectancies, autonomy support and external focus jointly improve learning by strengthening goal-action coupling."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 4, ""evidence_tier"": ""EXPERIMENTAL"", ""tbd_flag"": ""no"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.evidence_conflicted,evidence_claim,A1-011,Resolve conflicting evidence on: Contextual interference. Sources disagree; PPBF must not present this as settled.,Any product that states a single CI recommendation as settled science is misrepresenting the field as of 2026.,CONTESTED PRACTICE,seeded_from_research_program,CONFLICTED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""evidence_conflicted"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Contextual interference"", ""claim"": ""The contextual interference effect is a genuine live dispute in the current literature, with two 2023-2024 meta-analyses reaching opposite headline conclusions and a published rebuttal exchange continuing into 2025."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 2, ""evidence_tier"": ""EXPERIMENTAL"", ""tbd_flag"": ""no"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.hypothesis_untested,evidence_claim,A1-017,"Test the hypothesis: Differential learning. Currently reasoning, not evidence.",Small literature concentrated in a limited number of research groups; heterogeneity limits pooling; authors themselves label the analysis exploratory.,HYPOTHESIS REQUIRING TESTING,seeded_from_research_program,LIMITED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""hypothesis_untested"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Differential learning"", ""claim"": ""Differential learning has been evaluated only in an exploratory meta-analytic review with high heterogeneity; it is not established as superior to other methods."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 2, ""evidence_tier"": ""EXPERIMENTAL"", ""tbd_flag"": ""no"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.parameter_undefined,evidence_claim,A1-021,Derive a defensible value for: Representative learning design. Currently TBD — no invented number may be used.,Consensus validity only; predictive validity for actual transfer not established.,VERIFIED EVIDENCE,seeded_from_research_program,LIMITED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""parameter_undefined"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Representative learning design"", ""claim"": ""A coach-usable representativeness rating instrument has been built and consensus-validated in tennis (7 items, each with a task-goal and a competition-relevance sub-question), via a 4-round Delphi with 10 academic and 13 coaching experts."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 4, ""evidence_tier"": ""EXPERIMENTAL"", ""tbd_flag"": ""yes"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.parameter_undefined,evidence_claim,A1-026,Derive a defensible value for: Feedback frequency. Currently TBD — no invented number may be used.,"A null across a heterogeneous, underpowered literature means evidence is lacking, not that feedback frequency is proven irrelevant.",VERIFIED EVIDENCE,seeded_from_research_program,LIMITED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""parameter_undefined"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Feedback frequency"", ""claim"": ""A large meta-analysis found NO significant effect of reduced feedback frequency at any time point and no significant acquisition-to-delayed-retention reversal; included studies were severely underpowered."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 2, ""evidence_tier"": ""EMERGING"", ""tbd_flag"": ""yes"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.parameter_undefined,evidence_claim,A1-028,Derive a defensible value for: Bandwidth feedback. Currently TBD — no invented number may be used.,"Small, old, laboratory-task literature. No meta-analysis in sport located. The bandwidth width itself is arbitrary across studies.",VERIFIED EVIDENCE,seeded_from_research_program,LIMITED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""parameter_undefined"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Bandwidth feedback"", ""claim"": ""Bandwidth knowledge of results (feedback only when error exceeds a tolerance) has been studied since the late 1980s with reported learning advantages in laboratory tasks."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 4, ""evidence_tier"": ""EXPERIMENTAL"", ""tbd_flag"": ""yes"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.evidence_conflicted,evidence_claim,A1-034,Resolve conflicting evidence on: Implicit vs explicit learning. Sources disagree; PPBF must not present this as settled.,This is a 1996 challenge to a 1992 study; the wider implicit-learning literature has continued in both directions.,CONTESTED PRACTICE,seeded_from_research_program,CONFLICTED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""evidence_conflicted"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Implicit vs explicit learning"", ""claim"": ""The founding implicit-learning result was challenged on methodological grounds: the original implicit group performed articulatory suppression during learning but not during the stress test, so the comparison was confounded."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 4, ""evidence_tier"": ""EXPERIMENTAL"", ""tbd_flag"": ""no"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.hypothesis_untested,evidence_claim,A1-047,"Test the hypothesis: Perceptual-cognitive training transfer. Currently reasoning, not evidence.",The framework is theoretically grounded but not itself validated by a transfer trial. Generic brain-training approaches have been separately criticised on ecological grounds.,HYPOTHESIS REQUIRING TESTING,seeded_from_research_program,LIMITED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""hypothesis_untested"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Perceptual-cognitive training transfer"", ""claim"": ""Whether perceptual-cognitive training transfers to on-field performance remains an open research question, and a classification framework has been proposed to predict which modified perceptual training tasks should transfer."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 3, ""evidence_tier"": ""EXPERIMENTAL"", ""tbd_flag"": ""no"", ""seeded"": ""2026-08-07""}"
{{PPBF_ORG_ID}},research_program_seed.parameter_undefined,evidence_claim,A1-052,Derive a defensible value for: Retention and transfer methodology. Currently TBD — no invented number may be used.,Retention intervals in the literature are typically 24 hours to one week - far shorter than a boxing development cycle. The correct interval for a boxing technique is unknown.,STRONG EVIDENCE-SUPPORTED INFERENCE,seeded_from_research_program,LIMITED,partially_verified,open,{{SEED_ACCOUNT_ID}},platform_owner,"{""gap_type"": ""parameter_undefined"", ""capability_key"": ""motor_learning_practice_design"", ""track"": ""A1"", ""topic"": ""Retention and transfer methodology"", ""claim"": ""Establishing that learning has occurred requires a delayed retention test and a transfer test administered without the practice-condition supports, not an end-of-session measure."", ""boxing_specificity"": ""transferred"", ""authority_tier"": 3, ""evidence_tier"": ""EMERGING"", ""tbd_flag"": ""yes"", ""seeded"": ""2026-08-07""}"
