organization_id,item_id,template_id,ordinal,block,drill_id,free_text_drill,duration_minutes,rep_count,contact_level,coach_note,scale_level
{{PPBF_ORG_ID}},wti_78e9602c406a6f,wtp_216dfa4227233d,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_e90985cec0964e,wtp_216dfa4227233d,2,warmup,drl_f54d4fe102fb09,,4.0,,none,,
{{PPBF_ORG_ID}},wti_68e957176ace20,wtp_216dfa4227233d,3,technical,drl_9de5719225a39c,,7.0,,none,,
{{PPBF_ORG_ID}},wti_f7b4c65d8968b9,wtp_216dfa4227233d,4,technical,drl_7e09f9990ea721,,6.0,,none,,
{{PPBF_ORG_ID}},wti_351de79df647a0,wtp_216dfa4227233d,5,technical,drl_160ff16df2a668,,10.0,,light_technical,,
{{PPBF_ORG_ID}},wti_02857c31eb0775,wtp_216dfa4227233d,6,craft,drl_39ed71de8c14cd,,5.0,,none,,
{{PPBF_ORG_ID}},wti_0019a02fb90252,wtp_216dfa4227233d,7,cooldown,drl_325b6ba2613eb0,,5.0,,none,,
{{PPBF_ORG_ID}},wti_aea3e8a0772a07,wtp_98af8ee68020d0,1,warmup,drl_dbb0347500e7eb,,8.0,,none,,
{{PPBF_ORG_ID}},wti_25c92d8e809246,wtp_98af8ee68020d0,2,warmup,drl_0eaa11e875ffef,,5.0,,none,,
{{PPBF_ORG_ID}},wti_e017985851a067,wtp_98af8ee68020d0,3,technical,drl_b37c52526817b7,,8.0,,none,,
{{PPBF_ORG_ID}},wti_045afa54b1c47f,wtp_98af8ee68020d0,4,technical,drl_d79b33ee316e09,,8.0,,none,,
{{PPBF_ORG_ID}},wti_1562391052340b,wtp_98af8ee68020d0,5,technical,drl_4347e2c1a20806,,7.0,,none,,
{{PPBF_ORG_ID}},wti_fe5b9adfac3237,wtp_98af8ee68020d0,6,conditioning,drl_40acc6820f5df6,,6.0,,none,,
{{PPBF_ORG_ID}},wti_d1a39eb8c514cc,wtp_98af8ee68020d0,7,cooldown,drl_786d761c9321c0,,3.0,,none,,
