organization_id,cue_id,drill_id,cue_text,cue_family,focus_type,evidence_note,source_ref
{{PPBF_ORG_ID}},cue_7fe8b505468ce7,drl_7f812fecacfee4,Touch and go,Touch to Reposition,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_97d549229e2c1c,drl_7f812fecacfee4,Score then leave,Touch to Reposition,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_c6959f0c15acd2,drl_7f812fecacfee4,Better spot,Touch to Reposition,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_d01fc5be7257e6,drl_7f812fecacfee4,Feet first,Touch to Reposition,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_521e166d570a9d,drl_2d0193a7c52e58,Three and out,Three and Out,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_135aac9c5b3b0f,drl_2d0193a7c52e58,Last shot and leave,Three and Out,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_ffe27d3810d795,drl_2d0193a7c52e58,Nothing extra,Three and Out,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_68f27942c77c08,drl_2d0193a7c52e58,Finish clean,Three and Out,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_963e1f0610236e,drl_08c95a746f83e9,"Walk, do not chase",Structured Pursuit,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_86bb3f5cb3b21a,drl_08c95a746f83e9,Own the ground,Structured Pursuit,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_5c6ef3f9fd5663,drl_08c95a746f83e9,"Cut, do not follow",Structured Pursuit,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
{{PPBF_ORG_ID}},cue_d3a1ac23770308,drl_08c95a746f83e9,Feet first,Structured Pursuit,external,Cue wording is coaching craft. Evidence attaches to the cue CLASS; external focus is CONTESTED (CT-01).,Punxsy_Drill_Library_Source_v3.docx
